accession	length	begin	end	type	collection_date	country	host	mol_type	strain	pubmed	organism	location_details	host_details
MH013290	10269	0	10269	Asian	01-Oct-2017	Thailand	Homo sapiens	genomic RNA		29985788	Zika virus		
KY241674	10171	91	10269	Asian	05-Sep-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241766	10196	0	10269	Asian	15-Sep-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY241769	7853	538	8438	Asian	10-Sep-2016	Singapore	Homo sapiens	genomic RNA			Zika virus		
KY325482	7666	665	8337	Asian	24-Aug-2016	USA	Homo sapiens	genomic RNA			Zika virus	Florida	
KY379148	10269	0	10269	Asian	29-Feb-2016	China	Homo sapiens	genomic RNA			Zika virus		38 year old male
KY441401	10269	0	10269	Asian	29-Feb-2016	Brazil	Homo sapiens	genomic RNA			Zika virus		
KY441402	10269	0	10269	Asian	05-Apr-2016	Brazil	Homo sapiens	genomic RNA			Zika virus		
KY441403	10269	0	10269	Asian	11-Jan-2016	Brazil	Homo sapiens	genomic RNA			Zika virus		
MH513600	10269	0	10269	Asian	11-Dec-2015	Brazil	Homo sapiens	genomic RNA			Zika virus	Sinop, MT	
MH763832	9319	147	9474	Asian		Brazil	Homo sapiens	genomic RNA			Zika virus		
MH763833	10093	33	10143	Asian		Brazil	Homo sapiens	genomic RNA			Zika virus		
MK238035	9972	0	9987	Asian	18-Sep-2018	India	Homo sapiens	genomic RNA		30703541	Zika virus	Jaipur City, Rajasthan state	
MK238038	9800	44	9870	Asian	15-Oct-2018	India	Homo sapiens	genomic RNA		30703541	Zika virus	Jaipur City, Rajasthan state	
MK238037	10269	0	10269	Asian	10-Oct-2018	India	Homo sapiens	genomic RNA		30703541	Zika virus	Jaipur City, Rajasthan state	
MK238036	8444	238	8690	Asian	10-Oct-2018	India	Homo sapiens	genomic RNA		30703541	Zika virus	Jaipur City, Rajasthan state	
